dataset,model,heuristic,condition,metric,mean,std,n_seeds
citeseer,gat,aa,curriculum,ap,0.9116460658754557,0.008099288995409697,10
citeseer,gat,aa,curriculum,auc,0.892711025238498,0.010301010641937437,10
citeseer,gat,aa,curriculum,heart_hits@10,0.7742857142857142,0.022066853446106805,10
citeseer,gat,aa,curriculum,heart_hits@100,1.0,0.0,10
citeseer,gat,aa,curriculum,heart_hits@50,0.9452747252747253,0.009899873080927641,10
citeseer,gat,aa,curriculum,heart_mrr,0.5328075193040541,0.05190109571174579,10
citeseer,gat,aa,curriculum,hits@10,0.02197802197802198,0.0,10
citeseer,gat,aa,curriculum,hits@100,0.21824175824175826,0.0022087638727738205,10
citeseer,gat,aa,curriculum,hits@50,0.10967032967032968,0.0006593406593406571,10
citeseer,gat,aa,curriculum,mrr,0.35835185580587636,0.08615797887853695,10
citeseer,gat,cn,curriculum,ap,0.9114970417234896,0.007971913072003187,10
citeseer,gat,cn,curriculum,auc,0.8927921748581088,0.010072867388525102,10
citeseer,gat,cn,curriculum,heart_hits@10,0.778021978021978,0.024845859799670477,10
citeseer,gat,cn,curriculum,heart_hits@100,1.0,0.0,10
citeseer,gat,cn,curriculum,heart_hits@50,0.9441758241758242,0.007562483751246238,10
citeseer,gat,cn,curriculum,heart_mrr,0.5296773793625803,0.04925817193707181,10
citeseer,gat,cn,curriculum,hits@10,0.02197802197802198,0.0,10
citeseer,gat,cn,curriculum,hits@100,0.21802197802197804,0.0021533975760731224,10
citeseer,gat,cn,curriculum,hits@50,0.10967032967032968,0.0006593406593406571,10
citeseer,gat,cn,curriculum,mrr,0.34121794525450855,0.07218337637808885,10
citeseer,gat,ra,curriculum,ap,0.9107079708692698,0.010325792154894101,10
citeseer,gat,ra,curriculum,auc,0.891824175824176,0.013218796589871032,10
citeseer,gat,ra,curriculum,heart_hits@10,0.7782417582417582,0.025525748192650317,10
citeseer,gat,ra,curriculum,heart_hits@100,1.0,0.0,10
citeseer,gat,ra,curriculum,heart_hits@50,0.947032967032967,0.011975501297428807,10
citeseer,gat,ra,curriculum,heart_mrr,0.5434647075881455,0.05671573572006629,10
citeseer,gat,ra,curriculum,hits@10,0.02197802197802198,0.0,10
citeseer,gat,ra,curriculum,hits@100,0.21824175824175826,0.001978021978021978,10
citeseer,gat,ra,curriculum,hits@50,0.10967032967032968,0.0006593406593406571,10
citeseer,gat,ra,curriculum,mrr,0.32875495725127196,0.06874164760428984,10
citeseer,gcn,aa,curriculum,ap,0.9002313569862931,0.013374045792751543,10
citeseer,gcn,aa,curriculum,auc,0.8878729622026326,0.015293719548101728,10
citeseer,gcn,aa,curriculum,heart_hits@10,0.7210989010989011,0.04096941463623559,10
citeseer,gcn,aa,curriculum,heart_hits@100,0.9995604395604396,0.0008791208791208761,10
citeseer,gcn,aa,curriculum,heart_hits@50,0.9527472527472527,0.01036701223302924,10
citeseer,gcn,aa,curriculum,heart_mrr,0.45845761553046893,0.04169946270462334,10
citeseer,gcn,aa,curriculum,hits@10,0.02197802197802198,0.0,10
citeseer,gcn,aa,curriculum,hits@100,0.21846153846153848,0.001457857050705665,10
citeseer,gcn,aa,curriculum,hits@50,0.1098901098901099,1.3877787807814457e-17,10
citeseer,gcn,aa,curriculum,mrr,0.307486666804052,0.0503133306384531,10
citeseer,gcn,cn,curriculum,ap,0.9007644665819875,0.013716894592209095,10
citeseer,gcn,cn,curriculum,auc,0.8884738558145152,0.015502320863280522,10
citeseer,gcn,cn,curriculum,heart_hits@10,0.7246153846153847,0.043923614410818664,10
citeseer,gcn,cn,curriculum,heart_hits@100,0.9995604395604396,0.0008791208791208761,10
citeseer,gcn,cn,curriculum,heart_hits@50,0.952967032967033,0.010364682305539864,10
citeseer,gcn,cn,curriculum,heart_mrr,0.4593076006305906,0.04342076771027531,10
citeseer,gcn,cn,curriculum,hits@10,0.02197802197802198,0.0,10
citeseer,gcn,cn,curriculum,hits@100,0.21824175824175826,0.0017165383903091488,10
citeseer,gcn,cn,curriculum,hits@50,0.1098901098901099,1.3877787807814457e-17,10
citeseer,gcn,cn,curriculum,mrr,0.30928197980373173,0.0496991262113222,10
citeseer,gcn,ra,curriculum,ap,0.9008511750870305,0.01376751800733495,10
citeseer,gcn,ra,curriculum,auc,0.8883033450066418,0.015481692290378216,10
citeseer,gcn,ra,curriculum,heart_hits@10,0.7221978021978023,0.04193369732830371,10
citeseer,gcn,ra,curriculum,heart_hits@100,0.9995604395604396,0.0008791208791208761,10
citeseer,gcn,ra,curriculum,heart_hits@50,0.9531868131868132,0.010633820134859733,10
citeseer,gcn,ra,curriculum,heart_mrr,0.457741320525521,0.04287967052226725,10
citeseer,gcn,ra,curriculum,hits@10,0.02197802197802198,0.0,10
citeseer,gcn,ra,curriculum,hits@100,0.21846153846153848,0.001457857050705665,10
citeseer,gcn,ra,curriculum,hits@50,0.1098901098901099,1.3877787807814457e-17,10
citeseer,gcn,ra,curriculum,mrr,0.31375631240935986,0.04711880435756976,10
cora,gat,aa,curriculum,ap,0.9209813889561465,0.011121168012076077,10
cora,gat,aa,curriculum,auc,0.9113056252677971,0.007848622677186312,10
cora,gat,aa,curriculum,heart_hits@10,0.8015180265654649,0.03160631926171844,10
cora,gat,aa,curriculum,heart_hits@100,1.0,0.0,10
cora,gat,aa,curriculum,heart_hits@50,0.9554079696394687,0.012565338239956978,10
cora,gat,aa,curriculum,heart_mrr,0.5061170912478694,0.04960766645668343,10
cora,gat,aa,curriculum,hits@10,0.018785578747628085,0.0005692599620493354,10
cora,gat,aa,curriculum,hits@100,0.18747628083491463,0.002788792876033982,10
cora,gat,aa,curriculum,hits@50,0.09392789373814044,0.0012729039720112685,10
cora,gat,aa,curriculum,mrr,0.2739009010565464,0.09558568659589761,10
cora,gat,cn,curriculum,ap,0.8814508097275777,0.008957469182542532,10
cora,gat,cn,curriculum,auc,0.871596052266778,0.013513851120756223,10
cora,gat,cn,curriculum,heart_hits@10,0.6527514231499051,0.034281866537035945,10
cora,gat,cn,curriculum,heart_hits@100,1.0,0.0,10
cora,gat,cn,curriculum,heart_hits@50,0.9360531309297914,0.013841591062494784,10
cora,gat,cn,curriculum,heart_mrr,0.3725462845521976,0.021268059760456866,10
cora,gat,cn,curriculum,hits@10,0.018975332068311195,0.0,10
cora,gat,cn,curriculum,hits@100,0.1855787476280835,0.0027887928760339828,10
cora,gat,cn,curriculum,hits@50,0.09487666034155598,0.0,10
cora,gat,cn,curriculum,mrr,0.2186096145398564,0.0360582847132949,10
cora,gat,ra,curriculum,ap,0.9224617492272701,0.00886096516305392,10
cora,gat,ra,curriculum,auc,0.9126587428752491,0.007981880578893593,10
cora,gat,ra,curriculum,heart_hits@10,0.8068311195445921,0.020167484258954732,10
cora,gat,ra,curriculum,heart_hits@100,0.9998102466793168,0.000569259962049351,10
cora,gat,ra,curriculum,heart_hits@50,0.9552182163187857,0.011485955180585636,10
cora,gat,ra,curriculum,heart_mrr,0.5140435145680137,0.038100902900501374,10
cora,gat,ra,curriculum,hits@10,0.018785578747628085,0.0005692599620493354,10
cora,gat,ra,curriculum,hits@100,0.18747628083491463,0.002788792876033982,10
cora,gat,ra,curriculum,hits@50,0.0935483870967742,0.0012150140867994048,10
cora,gat,ra,curriculum,mrr,0.2667385257093744,0.09235799454424305,10
cora,gcn,aa,curriculum,ap,0.9178269601616966,0.011426537103821683,10
cora,gcn,aa,curriculum,auc,0.9130335686946628,0.010519004160509087,10
cora,gcn,aa,curriculum,heart_hits@10,0.7683111954459203,0.02994797977143142,10
cora,gcn,aa,curriculum,heart_hits@100,1.0,0.0,10
cora,gcn,aa,curriculum,heart_hits@50,0.9637571157495255,0.0079809263168171,10
cora,gcn,aa,curriculum,heart_mrr,0.41235514430879217,0.05280072977322765,10
cora,gcn,aa,curriculum,hits@10,0.018785578747628085,0.0005692599620493354,10
cora,gcn,aa,curriculum,hits@100,0.1869070208728653,0.001529840179942807,10
cora,gcn,aa,curriculum,hits@50,0.0937381404174573,0.0012586811348597373,10
cora,gcn,aa,curriculum,mrr,0.23169698248240986,0.0715050802193003,10
cora,gcn,cn,curriculum,ap,0.8952999108577263,0.013382015250384155,11
cora,gcn,cn,curriculum,auc,0.8910363568933612,0.01417759538464635,11
cora,gcn,cn,curriculum,heart_hits@10,0.6804554079696395,0.03388252637118698,10
cora,gcn,cn,curriculum,heart_hits@100,0.9990512333965844,0.0012729039720112748,10
cora,gcn,cn,curriculum,heart_hits@50,0.9500948766603416,0.010835894903430164,10
cora,gcn,cn,curriculum,heart_mrr,0.38538665984880605,0.027047518987952594,10
cora,gcn,cn,curriculum,hits@10,0.018975332068311198,3.469446951953614e-18,11
cora,gcn,cn,curriculum,hits@100,0.18561324823184402,0.001776027279797659,11
cora,gcn,cn,curriculum,hits@50,0.09418664826634467,0.0009128001763203736,11
cora,gcn,cn,curriculum,mrr,0.19344616170167026,0.022946023163267847,11
cora,gcn,ra,curriculum,ap,0.9182483662895446,0.011032440504945782,10
cora,gcn,ra,curriculum,auc,0.9138534326627756,0.01088930571198283,10
cora,gcn,ra,curriculum,heart_hits@10,0.7660341555977229,0.030075153080319307,10
cora,gcn,ra,curriculum,heart_hits@100,1.0,0.0,10
cora,gcn,ra,curriculum,heart_hits@50,0.9662239089184063,0.008562060093114597,10
cora,gcn,ra,curriculum,heart_mrr,0.41044864285493554,0.05200012421436054,10
cora,gcn,ra,curriculum,hits@10,0.018785578747628085,0.0005692599620493354,10
cora,gcn,ra,curriculum,hits@100,0.1870967741935484,0.0015180265654649034,10
cora,gcn,ra,curriculum,hits@50,0.0937381404174573,0.0012586811348597373,10
cora,gcn,ra,curriculum,mrr,0.23158819233008598,0.062165510447608756,10
pubmed,gat,aa,curriculum,ap,0.9435925048287622,0.0026399311472253503,10
pubmed,gat,aa,curriculum,auc,0.9467211738105867,0.001001729630134611,10
pubmed,gat,aa,curriculum,heart_hits@10,0.8664936823104694,0.004209166546115955,10
pubmed,gat,aa,curriculum,heart_hits@100,0.999932310469314,0.00010339746604142386,10
pubmed,gat,aa,curriculum,heart_hits@50,0.9840027075812274,0.0016440181617280803,10
pubmed,gat,aa,curriculum,heart_mrr,0.4754260853573985,0.011860141119173107,10
pubmed,gat,aa,curriculum,hits@10,0.0022111913357400724,9.02527075812275e-05,10
pubmed,gat,aa,curriculum,hits@100,0.022314981949458485,0.00018742382362179865,10
pubmed,gat,aa,curriculum,hits@50,0.011168772563176893,0.00011281588447653503,10
pubmed,gat,aa,curriculum,mrr,0.06352887013982224,0.017762262642717266,10
pubmed,gat,cn,curriculum,ap,0.9435144308033518,0.002741126358288914,10
pubmed,gat,cn,curriculum,auc,0.9466815711587209,0.0010834033517997772,10
pubmed,gat,cn,curriculum,heart_hits@10,0.8665613718411553,0.004664851562437043,10
pubmed,gat,cn,curriculum,heart_hits@100,0.9999548736462094,9.025270758122872e-05,10
pubmed,gat,cn,curriculum,heart_hits@50,0.9837996389891697,0.0017207288777019757,10
pubmed,gat,cn,curriculum,heart_mrr,0.4759726947738021,0.012689867785151871,10
pubmed,gat,cn,curriculum,hits@10,0.0022111913357400724,9.02527075812275e-05,10
pubmed,gat,cn,curriculum,hits@100,0.022292418772563178,0.00019670121586374992,10
pubmed,gat,cn,curriculum,hits@50,0.011146209386281586,0.00011053654073931381,10
pubmed,gat,cn,curriculum,mrr,0.06345574490168318,0.019873506224139054,10
pubmed,gat,ra,curriculum,ap,0.9436760049873829,0.0027811303900440927,10
pubmed,gat,ra,curriculum,auc,0.9467017441254285,0.0011121053549895063,10
pubmed,gat,ra,curriculum,heart_hits@10,0.8667870036101084,0.0042990994093193395,10
pubmed,gat,ra,curriculum,heart_hits@100,0.9999548736462094,9.025270758122872e-05,10
pubmed,gat,ra,curriculum,heart_hits@50,0.9839124548736462,0.0019567621656835614,10
pubmed,gat,ra,curriculum,heart_mrr,0.47693512897110796,0.012571033081198052,10
pubmed,gat,ra,curriculum,hits@10,0.002256317689530686,0.0,10
pubmed,gat,ra,curriculum,hits@100,0.022292418772563178,0.00019670121586374992,10
pubmed,gat,ra,curriculum,hits@50,0.011146209386281586,0.00011053654073931381,10
pubmed,gat,ra,curriculum,mrr,0.06317809116106808,0.018103913794622808,10
pubmed,gcn,aa,curriculum,ap,0.9698929966241504,0.0014887763019136948,10
pubmed,gcn,aa,curriculum,auc,0.9678001319986578,0.0010246666995997857,10
pubmed,gcn,aa,curriculum,heart_hits@10,0.9142824909747291,0.00452890793496306,10
pubmed,gcn,aa,curriculum,heart_hits@100,0.9999097472924188,0.00014966718368029998,10
pubmed,gcn,aa,curriculum,heart_hits@50,0.9882445848375452,0.0013441670585384626,10
pubmed,gcn,aa,curriculum,heart_mrr,0.5480112397839015,0.011054225184439208,10
pubmed,gcn,aa,curriculum,hits@10,0.002256317689530686,0.0,10
pubmed,gcn,aa,curriculum,hits@100,0.022518050541516243,0.00013537906137184205,10
pubmed,gcn,aa,curriculum,hits@50,0.011236462093862814,0.0001353790613718415,10
pubmed,gcn,aa,curriculum,mrr,0.1663330801943505,0.04386265940393342,10
pubmed,gcn,cn,curriculum,ap,0.9699050977310785,0.001516413775059073,10
pubmed,gcn,cn,curriculum,auc,0.9678329051149175,0.0010913425555066517,10
pubmed,gcn,cn,curriculum,heart_hits@10,0.9141922382671481,0.004549768252270656,10
pubmed,gcn,cn,curriculum,heart_hits@100,0.9999097472924188,0.00014966718368029998,10
pubmed,gcn,cn,curriculum,heart_hits@50,0.9883574007220218,0.001273171117298339,10
pubmed,gcn,cn,curriculum,heart_mrr,0.5475011113411344,0.011758904778841157,10
pubmed,gcn,cn,curriculum,hits@10,0.002256317689530686,0.0,10
pubmed,gcn,cn,curriculum,hits@100,0.022518050541516243,0.00013537906137184205,10
pubmed,gcn,cn,curriculum,hits@50,0.011259025270758121,6.768953068592102e-05,10
pubmed,gcn,cn,curriculum,mrr,0.16579105397383614,0.04260282957659619,10
pubmed,gcn,ra,curriculum,ap,0.9699278197087405,0.0014794959843836396,10
pubmed,gcn,ra,curriculum,auc,0.9679030434019407,0.0011115683975593193,10
pubmed,gcn,ra,curriculum,heart_hits@10,0.9145081227436824,0.0047462649538076345,10
pubmed,gcn,ra,curriculum,heart_hits@100,0.999932310469314,0.00014447482485182623,10
pubmed,gcn,ra,curriculum,heart_hits@50,0.9883574007220218,0.0011732851985559263,10
pubmed,gcn,ra,curriculum,heart_mrr,0.546930567136652,0.011742800020440074,10
pubmed,gcn,ra,curriculum,hits@10,0.002256317689530686,0.0,10
pubmed,gcn,ra,curriculum,hits@100,0.022518050541516243,0.00013537906137184205,10
pubmed,gcn,ra,curriculum,hits@50,0.011236462093862814,0.0001353790613718415,10
pubmed,gcn,ra,curriculum,mrr,0.16505406598443922,0.042306963181858476,10
